Date,Close
5/1/2018 16:00:00,32.97
5/2/2018 16:00:00,33.36
5/3/2018 16:00:00,31.02
5/4/2018 16:00:00,31.55
5/7/2018 16:00:00,33.17
5/8/2018 16:00:00,33.12
5/9/2018 16:00:00,36.08
5/10/2018 16:00:00,35.46
5/11/2018 16:00:00,35.14
5/14/2018 16:00:00,35.3
5/15/2018 16:00:00,34.08
5/16/2018 16:00:00,34.44
5/17/2018 16:00:00,34.26
5/18/2018 16:00:00,35.4
5/21/2018 16:00:00,34.74
5/22/2018 16:00:00,34.04
5/23/2018 16:00:00,34.55
5/24/2018 16:00:00,35.99
5/25/2018 16:00:00,38.54
5/29/2018 16:00:00,38.6
5/30/2018 16:00:00,38.45
5/31/2018 16:00:00,37.46
6/1/2018 16:00:00,37.07
6/4/2018 16:00:00,38.03
6/5/2018 16:00:00,40.26
6/6/2018 16:00:00,39.45
6/7/2018 16:00:00,39.57
6/8/2018 16:00:00,39.24
6/11/2018 16:00:00,41.46
6/12/2018 16:00:00,41.46
6/13/2018 16:00:00,43.43
6/14/2018 16:00:00,45.02
6/15/2018 16:00:00,43.3
6/18/2018 16:00:00,44.93
6/19/2018 16:00:00,45.27
6/20/2018 16:00:00,46.75
6/21/2018 16:00:00,45.37
6/22/2018 16:00:00,44.71
6/25/2018 16:00:00,42.01
6/26/2018 16:00:00,43.99
6/27/2018 16:00:00,41.42
6/28/2018 16:00:00,41.62
6/29/2018 16:00:00,42.62
7/2/2018 16:00:00,43.29
7/3/2018 13:00:00,45.54
7/5/2018 16:00:00,45.41
7/6/2018 16:00:00,46.7
7/9/2018 16:00:00,46.33
7/10/2018 16:00:00,45.99
7/11/2018 16:00:00,45.91
7/12/2018 16:00:00,48.31
7/13/2018 16:00:00,48.76
7/16/2018 16:00:00,48.26
7/17/2018 16:00:00,51.39
7/18/2018 16:00:00,49.5
7/19/2018 16:00:00,49.79
7/20/2018 16:00:00,49.77
7/23/2018 16:00:00,49.74
7/24/2018 16:00:00,46.91
7/25/2018 16:00:00,48.71
7/26/2018 16:00:00,48.64
7/27/2018 16:00:00,47.54
7/30/2018 16:00:00,44.31
7/31/2018 16:00:00,45.42
8/1/2018 16:00:00,45.65
8/2/2018 16:00:00,46.46
8/3/2018 16:00:00,46.47
8/6/2018 16:00:00,47.85
8/7/2018 16:00:00,47.42
8/8/2018 16:00:00,47.25
8/9/2018 16:00:00,57.32
8/10/2018 16:00:00,58.05
8/13/2018 16:00:00,55.38
8/14/2018 16:00:00,55.79
8/15/2018 16:00:00,54.51
8/16/2018 16:00:00,57.05
8/17/2018 16:00:00,56.07
8/20/2018 16:00:00,57.03
8/21/2018 16:00:00,58.75
8/22/2018 16:00:00,59.69
8/23/2018 16:00:00,60.09
8/24/2018 16:00:00,63.26
8/27/2018 16:00:00,64.1
8/28/2018 16:00:00,62.99
8/29/2018 16:00:00,59.92
8/30/2018 16:00:00,60.68
8/31/2018 16:00:00,59.49
9/4/2018 16:00:00,63.2
9/5/2018 16:00:00,61.35
9/6/2018 16:00:00,63.6
9/7/2018 16:00:00,65.23
9/10/2018 16:00:00,68.71
9/11/2018 16:00:00,70.98
9/12/2018 16:00:00,70.94
9/13/2018 16:00:00,70.61
9/14/2018 16:00:00,71.12
9/17/2018 16:00:00,69.75
9/18/2018 16:00:00,72.07
9/19/2018 16:00:00,70.61
9/20/2018 16:00:00,72.86
9/21/2018 16:00:00,72.45
9/24/2018 16:00:00,73.07
9/25/2018 16:00:00,73.03
9/26/2018 16:00:00,73.34
9/27/2018 16:00:00,74.74
9/28/2018 16:00:00,73.03
10/1/2018 16:00:00,76.48
10/2/2018 16:00:00,71.64
10/3/2018 16:00:00,72.57
10/4/2018 16:00:00,66.82
10/5/2018 16:00:00,66.94
10/8/2018 16:00:00,65.64
10/9/2018 16:00:00,64.5
10/10/2018 16:00:00,56.45
10/11/2018 16:00:00,56.08
10/12/2018 16:00:00,60.41
10/15/2018 16:00:00,61.69
10/16/2018 16:00:00,63.66
10/17/2018 16:00:00,60.84
10/18/2018 16:00:00,57.01
10/19/2018 16:00:00,54.09
10/22/2018 16:00:00,53.91
10/23/2018 16:00:00,54.09
10/24/2018 16:00:00,50.74
10/25/2018 16:00:00,52.05
10/26/2018 16:00:00,51.82
10/29/2018 16:00:00,50.47
10/30/2018 16:00:00,52.26
10/31/2018 16:00:00,55.6
11/1/2018 16:00:00,57.83
11/2/2018 16:00:00,57.89
11/5/2018 16:00:00,56.85
11/6/2018 16:00:00,55.62
11/7/2018 16:00:00,58.86
11/8/2018 16:00:00,45.74
11/9/2018 16:00:00,43.94
11/12/2018 16:00:00,41.46
11/13/2018 16:00:00,42.44
11/14/2018 16:00:00,43.2
11/15/2018 16:00:00,44.53
11/16/2018 16:00:00,44.58
11/19/2018 16:00:00,42.67
11/20/2018 16:00:00,40.86
11/21/2018 16:00:00,40.25
11/23/2018 13:00:00,39.92
11/26/2018 16:00:00,41.21
11/27/2018 16:00:00,39.22
11/28/2018 16:00:00,38.93
11/29/2018 16:00:00,40.84
11/30/2018 16:00:00,40.75
12/3/2018 16:00:00,42.17
